StudentID,AvgSecsOnCapstoneTask,AvgCapstoneScore,AvgNumAttempts
1727.0,16.75,0.89,1.5
1729.0,15.5,0.93,1.0
1730.0,16.17,0.96,1.0
1731.0,18.29,0.87,1.43
1733.0,24.25,0.97,1.0
1734.0,19.6,0.92,1.0
1735.0,17.62,0.72,1.0
1736.0,18.25,0.94,1.5
1737.0,17.67,0.87,1.33
1738.0,16.0,0.55,1.29
1739.0,17.0,0.69,1.0
1740.0,17.75,0.83,1.0
1741.0,16.25,0.94,1.25
1742.0,17.5,0.96,2.38
1743.0,17.17,0.94,1.33
1744.0,11.0,0.82,1.0
1745.0,13.29,0.69,1.14
1746.0,18.43,0.9,1.0
1747.0,17.62,0.85,1.38
1748.0,13.5,0.82,1.25
1749.0,17.25,0.94,1.75
1750.0,24.0,0.96,1.0
1751.0,92.5,1.0,2.12
1752.0,18.14,0.99,2.43
1753.0,16.25,0.98,1.62
1754.0,18.62,0.94,1.62
1755.0,24.14,0.9,1.71
1756.0,18.0,0.92,1.38
1757.0,16.88,0.96,1.25
1758.0,18.33,0.77,1.11
1759.0,18.0,0.93,1.0
1760.0,29.38,0.9,1.12
1761.0,15.0,0.9,1.12
1762.0,17.12,0.95,1.38
1763.0,17.57,0.93,1.86
1764.0,18.25,0.71,1.0
1765.0,17.75,0.98,2.12
1766.0,15.86,0.83,1.0
1767.0,19.4,0.91,1.0
1768.0,16.75,0.88,1.38
1769.0,20.12,0.94,1.5
1770.0,20.0,0.82,1.38
1771.0,17.0,0.96,2.38
1772.0,18.0,0.68,1.25
1773.0,16.14,0.82,1.0
1774.0,14.57,0.92,1.0
1775.0,18.75,0.9,1.0
1776.0,12.89,0.82,1.0
1777.0,18.57,0.87,1.29
1778.0,16.62,0.91,1.0
1779.0,17.12,0.77,1.0
1780.0,18.0,0.84,1.57
1781.0,17.88,0.89,1.88
1782.0,19.5,0.95,1.25
1783.0,17.86,0.97,1.0
1784.0,29.5,0.85,1.12
1785.0,14.0,0.94,1.0
1786.0,30.25,0.9,1.0
1787.0,19.14,0.65,1.14
1789.0,13.38,0.8,1.12
1790.0,91.62,0.87,1.0
1791.0,14.88,0.91,1.0
1792.0,17.75,0.75,1.0
1793.0,15.75,0.95,1.0
1794.0,25.75,0.82,1.5
1795.0,18.38,0.88,1.88
1796.0,17.12,0.82,1.38
1797.0,14.75,0.78,1.0
1798.0,15.5,0.89,1.25
1799.0,24.5,0.95,1.0
1800.0,18.88,0.93,1.0
1801.0,18.38,0.99,1.5
1802.0,17.0,0.85,1.38
1803.0,26.62,0.98,1.12
1804.0,13.12,0.92,1.0
1805.0,15.0,0.96,1.0
1806.0,16.5,0.89,1.12
1807.0,13.62,0.99,2.25
1808.0,18.38,0.97,1.62
1809.0,20.0,0.83,1.25
1810.0,18.5,0.92,1.12
1811.0,16.75,0.91,1.0
1812.0,18.57,0.95,1.0
1813.0,21.83,0.96,1.17
1814.0,16.0,0.83,1.0
1815.0,18.83,0.78,1.0
1816.0,16.83,0.62,1.0
1817.0,19.43,0.77,1.14
1818.0,32.14,0.89,1.0
1819.0,16.33,0.7,1.22
1820.0,13.0,0.94,1.0
1821.0,19.57,0.86,1.14
1822.0,14.29,0.95,1.29
1823.0,18.57,0.95,1.29
1824.0,20.43,0.74,1.43
1825.0,22.14,0.92,1.0
1826.0,16.88,0.94,1.5
1827.0,23.5,0.66,1.12
1828.0,17.38,0.81,1.38
1829.0,18.0,0.93,1.25
1830.0,14.12,0.9,1.12
1831.0,16.62,0.82,1.0
1832.0,14.43,0.94,1.0
1833.0,17.75,0.83,1.0
1834.0,19.0,0.93,1.25
1835.0,21.38,0.97,1.0
1836.0,19.38,0.78,1.12
1837.0,20.25,0.84,1.0
1838.0,14.14,0.84,1.29
1839.0,14.12,0.92,1.25
1840.0,18.38,0.93,1.0
1841.0,18.86,0.77,1.57
1842.0,17.57,0.88,1.0
